
Year,Month,tmax,tmin,ppt
1990,6,25.6981,6.27334,6.81853
1990,7,32.3761,11.80939,9.19952
1990,8,30.81286,10.9636,15.92465
1990,9,28.98443,7.7135,6.86137
1990,10,21.19802,0.915,5.15278
1990,11,12.14726,-5.28362,10.54596
1990,12,1.55489,-13.35872,17.67166
1991,1,5.18822,-9.22123,7.34531
1991,2,12.56706,-4.22995,9.91766
1991,3,8.44818,-3.60461,41.23394
1991,4,13.39593,-2.29114,16.19123
1991,5,16.61223,1.3936,39.24826
1991,6,23.86441,5.05129,21.37543
1991,7,32.80986,12.00595,6.83064
1991,8,32.00442,11.31981,11.93611
1991,9,28.7612,7.53866,12.95538
1991,10,21.82949,2.17293,15.94896
1991,11,11.66184,-2.14367,25.08963
1991,12,6.97692,-6.54506,16.03181
1992,1,6.08428,-7.46173,6.43477
1992,2,10.10234,-3.04026,15.45178
1992,3,13.97131,-2.05525,17.73368
1992,4,18.95532,1.14139,9.81068
1992,5,25.71661,5.43277,5.3546
1992,6,26.33691,7.93005,35.24214
1992,7,30.15917,10.30149,5.64761
1992,8,32.6707,11.06931,10.6549
1992,9,27.85007,6.19891,6.25786
1992,10,21.4531,2.06884,21.423
1992,11,10.16931,-4.77965,13.07869
1992,12,3.29588,-9.65742,46.75881
1993,1,0.37773,-11.66777,60.84861
1993,2,2.38564,-8.34229,24.57079
1993,3,11.73539,-0.85645,26.33885
1993,4,13.93157,-0.47174,18.46302
1993,5,21.59628,4.62984,21.96667
1993,6,22.68681,5.26674,38.24518
1993,7,27.83483,7.92714,4.63655
1993,8,29.50646,9.24202,10.45903
1993,9,27.82178,5.55501,6.1628
1993,10,19.48167,2.2474,23.99779
1993,11,9.89664,-7.81868,10.84996
1993,12,5.92868,-6.49718,17.93268
1994,1,8.10955,-6.95179,6.58047
1994,2,6.53088,-7.07002,24.25773
1994,3,14.64227,-2.7661,11.66571
1994,4,16.59095,0.21622,18.8224
1994,5,21.27254,4.89917,33.77296
1994,6,27.34375,6.74411,5.85786
1994,7,33.93172,12.68833,5.47869
1994,8,33.11679,10.47224,0.77292
